CO2
Series Name,Series Code,Country Name,Country Code,1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.0865098566374047,0.149651474425259,0.16520832089736,0.12999559417753,0.135366587543459,0.154503240567311,0.167612355743012,0.153557886047794,0.18152216644272,0.161894231687439,0.167066411474234,0.131782918458271,0.150614656164027,0.163103934258866,0.201224304559119,0.2319613460576,0.293956932229695,0.267771904296961,0.269229595949307,0.246823271293135,0.233882194583363,0.210643419418854,0.183363552358795,0.0961965810608727,0.0850871075160703,0.0758064942125158,0.0686398621540897,0.0624346107290676,0.0566423445298646,0.0527632181252538,0.0407225399194997,0.0372347810411313,0.0378461357038751,0.0473773238699389,0.0504813357583004,0.0384100431744103,0.0517439645638815,0.0624275315344817,0.0838928056625891,0.151720912092499,0.238398541311049,0.289987629819143,0.406424217113203,0.345148782903553,0.310341014879365,0.293946407148718,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.5589675720987,1.75323990542637,1.98949792330655,2.51591439803203,2.30389741687392,1.84900669071079,1.91063363704144,2.01358456245734,2.27587639136105,2.53062504042839,2.89820851758249,1.93505831031996,2.69302391440235,2.62485678513424,2.6832399189862,2.69429137362284,2.65801538201043,2.66535622064854,2.41406081518223,2.33159853051997,2.78324307461439,1.67810665434977,1.31221260013653,0.774724910911141,0.723790291969695,0.600203707768206,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80371472482914,1.692908325435,1.74921107861166,1.97876331208568,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,0.801895031063763,1.04217439561811,1.25527052060045,1.85461177195589,2.43878057203056,1.97575810304337,1.92869762213411,2.29259921732671,2.38253066728909,3.45424622530682,2.44646072475515,3.46064609907623,2.34252335050805,1.92001619134537,2.4938597636466,3.26707032277556,3.24482431002614,3.30170472845904,3.53831812558477,3.43439950642026,3.18833494847287,2.98810984286616,2.99424563470989,2.96498636282543,2.97481241076926,3.06291962216753,3.31368806742244,3.31774582494844,2.93651170583821,3.54387655395728,3.00571944871188,2.83037996458696,2.67777217338409,2.82238889843384,2.83831965608151,2.70738828140555,3.23616827096358,3.00436514940905,3.20206733567142,3.17322455166924,3.43578736793731,3.31256060218823,3.30557126991506,3.47710809205046,3.52555735779834,3.7355201474105,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.46733566933901,7.18245663566904,6.91205338948512,6.73605484574634,6.4942004243981,6.66205168363352,7.06507147296457,7.23971271783233,7.66078388575348,7.97545440422557,8.01928429423459,7.78695000074249,7.59061514082999,7.31576070618458,7.35862494097896,7.29987193629782,6.74605212796168,6.51938706400271,6.42780997352794,6.12157986337213,6.12259470212791,5.8674101758869,5.91688403071809,5.90177532374279,5.83290621488897,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.480234020430607,0.608223599046918,0.564548236096118,0.721245978268245,0.751239887196508,0.72077637996977,0.628568906605923,0.451353518485931,0.469221176481519,0.694736947493982,0.683062947974992,0.640966402195152,0.611135119645444,0.519354626128818,0.551348574103997,0.520982856139637,0.47190277210483,0.451618882781396,0.544085132259045,0.463508296402709,0.437295461971892,0.431743614699926,0.41553083007202,0.410522931864339,0.441721097947702,0.288119067989055,0.7870325472424,0.726233460982052,0.496361244979515,0.475815159521396,0.57708291408973,0.581961496322796,0.574316054293958,0.722958874715979,0.500225395509936,1.0018781174791,0.985736354999963,1.10501902714063,1.20313399963445,1.18500049364771,1.23442507446718,1.24409153765549,1.25268084136928,1.33021856719297,1.25377616969393,1.29030677595566,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,19.7919905586153,7.19949514623619,6.60956850070699,5.83216128981959,5.18507462686567,6.79719581749049,11.2920781810929,6.46768322991326,7.49222156083592,7.92085240827906,6.57019950929752,2.31169481936475,1.72076051779935,4.74853914760679,1.36502824218687,2.37400058265627,4.03580099051565,4.03789228228131,4.45622761961858,4.63042528047142,4.61272739001419,4.51572095701126,4.22445436899332,4.0952366180143,4.12542378034875,3.98325992500446,4.00502402795981,4.18052527325325,4.29582728996988,4.35689118321862,4.41961057396149,4.53454535887182,4.51179868414236,4.73040424037295,5.08663303909205,5.24926558454491,5.26654391456454,5.36500048365254,5.5860804988932,5.62522102649976,5.8759251147027,5.95697959740083,5.75196351943352,5.80009733544227,5.72993793435028,5.74441995635358,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.28816119970689,3.46452723619014,3.66615941648738,3.65700815412214,3.75415427499428,3.75336660448062,3.67015070415827,3.79926198227955,3.78041549059055,3.79288096280975,4.02981026998763,3.89788833219675,3.6008100283307,3.59179341867078,3.59556404239252,3.5821484971648,3.3292256468773,3.39465765033634,3.68588331703513,3.83571434593551,3.64223245430046,3.43815141220892,3.53995921883975,3.61928035773818,3.47149448525499,3.55809941158059,3.67414170770385,3.83019839147142,3.87027000740855,3.87692639244616,4.03058881541224,3.8549919479614,3.58735031650151,3.3096836879838,3.5460883239776,4.09408291682224,4.16812854757591,4.46518602068451,4.41424641662401,4.7182244282458,4.44538780283611,4.60716374803428,4.64437307038597,4.60917985556416,4.49853999490794,4.78150777487432,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6924695677987,0.759981243540201,0.824153606318789,1.05997548291326,0.809044886704558,1.03230198695281,1.08169108051084,0.975802049969214,1.12891750073544,1.16115550366196,1.00317470990231,1.13609087282285,1.2147078034605,1.46002557971119,1.48127459388089,1.72682804238397,1.91193341078505,1.50966901331398,1.46561781992195,1.70950183866857,1.97447948827919,1.89704008580942,1.89871937365811,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.86831939212055,7.23519803341258,10.0261792105306,10.6347325992922,26.3745032100275,26.0461298009966,21.4425588041328,22.000786163522,21.0362451108214,20.7719361585578,20.3183533653846,20.4268177083943,20.5876691453648,20.311566765912,26.1948752380219,25.9340244138733,25.6711617820448,26.4204520857169,26.5172934158421,27.200707780588,26.9477259654482,27.8950228211258,26.2295526746779,25.9153220639692,24.6705288731078,24.5075162181761,13.1577223088924,8.35356100776471,8.41006417792511,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,11.6005543504852,11.8028905412969,11.8091175697612,11.9516315549822,12.7796868460389,12.559668731327,12.6598998056575,12.4167917765268,13.2318961386697,14.069858615406,14.1290919801571,15.0249160087122,15.4325008374087,15.4249318091975,14.6400841303923,15.2209752959341,15.3084102043407,14.9805731533736,15.7469578022492,15.7961677816625,16.5198629151204,15.4528816707784,15.1279662115251,15.3177685052872,15.7014518027962,15.5765862783534,15.5965188136344,16.5018003932063,16.5142732084031,16.9356958473625,17.1902976857233,17.2006098261369,16.7333674341936,17.3704517744283,16.9019589452838,17.0265153472381,17.1697114460549,17.6513983061083,17.8652600395629,18.1608756564953,18.2001819589981,17.7408450531619,17.5388777559057,17.0729046803908,16.0958331735351,15.3887660194467,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,6.00632517835173,6.78880730716105,6.95365191197046,7.448516814438,7.93086698527507,7.56269727826075,7.1768448547237,7.72125001239174,7.42806328393075,7.60137180396718,8.15884640220944,6.92847899968117,7.41616061389589,7.11212494091738,6.87437327341902,7.21427866724751,7.23076635313884,7.14430485162476,7.62341981462749,7.03203069825559,7.10244899742991,7.51324615615048,7.94409618394378,7.22623642836381,7.22301730930338,7.18926470095329,7.52151610701085,7.9380082992661,7.86366799568426,7.98100426123845,7.74113061482493,7.77425973898237,8.19276989783884,8.29911579584004,8.8895623340885,8.85836370342216,9.02016959759373,8.72729787156076,8.4064189359829,8.29509597793474,7.51875110192905,8.07113180231399,7.74813430456944,7.38707716295308,7.36874814486104,6.86986792967669,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.61863709021945,6.46458585723816,5.5253585625905,4.33741444372154,4.02647275537808,3.80302274104551,4.0029756097561,3.57983539507062,3.66627102850185,3.54710548377552,3.62394434620868,3.71816992749663,3.86322963943899,4.09180192686952,4.6162998626916,3.55534009998485,4.05138348129721,3.56566821757272,3.38822587905988,3.64617987716669,3.82487717012357,3.78506883600917,3.93156060898919,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,10.6258796600677,15.1982500575639,38.7178717457689,36.491459863043,43.3736178980481,39.9146769662921,43.6982095968152,33.5128013726679,49.3023881157376,32.7972979680164,33.6464482678266,37.942708852705,13.010913684367,10.2756739817607,8.96043254962592,8.07010172970951,6.44051871872043,5.90667191036621,5.84860505362333,6.22402010903169,7.73508836743693,7.61385199611276,6.82799760926868,6.74047942141646,6.27695531396065,6.11507870333447,6.00731305142335,5.87540231989802,4.74712379679703,5.77943337336586,5.69886282484646,5.59798490862302,5.18632731694744,5.12517064291751,4.84828297602585,5.40458584984352,5.3617877294457,5.02916023478022,5.01049826757837,4.35326945626904,4.69907666960332,4.65940069081709,5.1908297805477,5.41602215719064,7.63026189646157,6.52006971856257,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,6.17564780167247,12.1942992874109,13.7983541522931,16.0662782832581,23.0558642658239,21.4566176149513,21.5857216284052,23.1713996729538,24.6381759709739,24.0103687170181,23.7264577784649,21.9171436669186,22.788877900139,25.4918020468973,20.7558707945941,22.6111780956474,24.3051489170966,25.4037118206146,25.4583013156752,26.1467998572651,24.3990525622185,25.0588549616781,23.3000098085374,20.8416799532008,27.3070830458216,26.9095132127449,26.2877875880127,26.9955725755444,29.1113440045989,29.9896904024768,28.3086839653691,28.0510373737419,19.9661183149474,21.3541623024542,21.1484882651777,21.1002610129133,21.6020284222033,19.6470068383524,25.9152568878455,26.7069899635847,23.8107640353868,23.5855189143014,22.4154039702664,20.5191750715224,23.8112718426742,23.455406320753,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,..,..,..,0.0526721480845869,0.0673356049518662,0.0678004888203152,0.0695023988778857,0.0777388402487281,0.0791166818106778,0.0797553936093758,0.0857520042972282,0.0959117255031175,0.0970033270547601,0.102453200072006,0.0956099773984954,0.103187683668304,0.112760305461021,0.123010375103221,0.123994991050752,0.13796111170239,0.133612955900103,0.150558471528833,0.150952469521836,0.164360726133269,0.157744886280178,0.168261316848245,0.198107908896011,0.204248745337141,0.208587111824808,0.196019189810733,0.201584506374253,0.218311675519784,0.249496047704435,0.254435016520393,0.264649838758873,0.275239623731495,0.283948492149541,0.308980963803685,0.311100406745038,0.343107444707401,0.368245967133331,0.406145623292441,0.424812929970862,0.44703518540601,0.456320609091594,0.473657610012808,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,2.01877245697716,1.79592374924653,2.01606037635259,2.08011510672215,1.97629891100881,2.00854302578441,2.30906261933586,2.14762322130356,2.37163218002949,2.52084907055471,2.39262226925694,2.67331236083267,2.70720258351823,2.54009335568832,2.69137086518988,2.92789347820131,3.30549864787347,3.56563609703353,3.65251783783365,3.65316611127629,3.80866835668976,4.11760355029586,4.60641453962315,3.72438623585889,4.22462235764039,2.8240383853103,3.11609858810701,3.18572247040805,3.36363060103584,4.23425386877358,4.47441495871711,4.37584663830728,4.48114128440367,4.49280424247966,4.62503781955243,4.70223841559989,4.89688878594978,4.94260064798163,4.8945963401507,5.78973802090403,5.75284236439183,5.23799582463466,5.4035662415588,5.18317589002467,5.0949186763092,4.46747652067059,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.55693157791699,7.49767018263502,6.36122489488609,5.9616628408868,5.92169970472441,5.88670030641495,5.77018055417618,5.59628006635857,5.38974529064763,5.31404901159273,5.31192965661918,5.46414591207757,5.97715799947914,6.12247158630845,6.46244665756856,6.33031403877835,6.62316355451861,6.43968426694044,6.64269666046859,6.76251734899356,6.67999158961994,6.73665225121031,6.70195770525782,..,..,..,..
